"Time","ICMPv4","TCP","UDP"
2023-02-23 03:10:00,0.180,47.2,1.96
2023-02-23 03:12:00,0.180,63.6,0.200
2023-02-23 03:14:00,0.180,46.9,0.440
2023-02-23 03:16:00,0.180,45.8,0.0800
2023-02-23 03:18:00,0.180,46.1,0.440
2023-02-23 03:20:00,0.180,46.1,1.58
2023-02-23 03:22:00,0.180,47.5,0.440
2023-02-23 03:24:00,0.180,45.6,0.0800
2023-02-23 03:26:00,0.180,45.8,0.400
2023-02-23 03:28:00,0.180,45.3,0.0400
2023-02-23 03:30:00,0.180,45.9,1.92
2023-02-23 03:32:00,0.180,45.1,0.0400
2023-02-23 03:34:00,0.180,45.5,0.400
2023-02-23 03:36:00,0.180,45.8,0.400
2023-02-23 03:38:00,0.180,45.3,0.420
2023-02-23 03:40:00,0.180,45.9,2.42
2023-02-23 03:42:00,0.180,45.6,0.0800
2023-02-23 03:44:00,0.180,45.5,0.440
2023-02-23 03:46:00,0.180,44.8,0.0800
2023-02-23 03:48:00,0.180,45.0,0.440
2023-02-23 03:50:00,0.180,46.2,1.64
2023-02-23 03:52:00,0.180,44.8,0.440
2023-02-23 03:54:00,0.180,44.8,0.0800
2023-02-23 03:56:00,0.180,44.8,0.440
2023-02-23 03:58:00,0.180,44.6,0.0400
2023-02-23 04:00:00,0.180,44.9,1.94
2023-02-23 04:02:00,0.180,43.7,0.0400
2023-02-23 04:04:00,0.180,45.2,0.400
2023-02-23 04:06:00,0.180,44.9,0.400
2023-02-23 04:08:00,0.180,44.9,0.440
2023-02-23 04:10:00,0.180,45.1,1.96
2023-02-23 04:12:00,0.180,44.0,0.0800
2023-02-23 04:14:00,0.180,45.4,0.440
2023-02-23 04:16:00,0.180,44.7,0.0800
2023-02-23 04:18:00,0.180,44.8,0.440
2023-02-23 04:20:00,0.180,44.1,1.60
2023-02-23 04:22:00,0.180,44.7,0.440
2023-02-23 04:24:00,0.180,62.9,1.84
2023-02-23 04:26:00,0.180,44.1,0.440
2023-02-23 04:28:00,0.180,44.6,0.0400
2023-02-23 04:30:00,0.180,44.6,1.86
2023-02-23 04:32:00,0.180,44.7,0.400
2023-02-23 04:34:00,0.180,81.5,2.16
2023-02-23 04:36:00,0.180,44.6,0.400
2023-02-23 04:38:00,0.180,43.9,0.200
2023-02-23 04:40:00,0.180,44.7,2.44
2023-02-23 04:42:00,0.180,44.5,0.0800
2023-02-23 04:44:00,0.180,96.4,2.20
2023-02-23 04:46:00,0.180,43.7,0.0800
2023-02-23 04:48:00,0.180,44.7,0.440
2023-02-23 04:50:00,0.180,44.5,1.62
2023-02-23 04:52:00,0.180,44.2,0.440
