"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 08:38:00,0,0,23.6,23.7,0.417,0.411,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:40:00,0,0,23.9,23.8,0.356,0.361,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:42:00,0,0,22.9,22.8,0.394,0.389,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:44:00,0,0,22.9,23.0,0.339,0.339,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:46:00,0,0,23.1,23.2,0.378,0.383,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:48:00,0,0,23.6,23.4,0.400,0.389,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:50:00,0,0,23.0,23.1,0.378,0.383,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:52:00,0,0,23.1,23.1,0.428,0.428,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:54:00,0,0,22.7,22.7,0.383,0.383,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:56:00,0,0,23.0,23.0,0.372,0.383,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:58:00,0,0,23.6,23.7,0.394,0.400,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:00:00,0,0,23.7,23.6,0.378,0.383,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:02:00,0,0,23.0,23.0,0.439,0.439,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:04:00,0,0,22.7,22.9,0.389,0.389,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:06:00,0,0,23.2,23.1,0.378,0.383,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:08:00,0,0,22.8,22.9,0.406,0.411,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:10:00,0,0,23.1,23.2,0.350,0.333,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 09:12:00,0,0,23.2,23.2,0.422,0.428,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
