"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 09:20:00,0,33250,5891,0,32080,0,0,0,16539
2023-03-17 09:24:00,0,37245,228381,0,26985,0,0,0,15041
2023-03-17 09:28:00,0,32348,233004,0,28787,0,0,0,15586
2023-03-17 09:32:00,0,36431,226633,0,65802,0,0,0,16261
2023-03-17 09:36:00,0,36768,223385,0,30383,0,0,0,15916
2023-03-17 09:40:00,0,33361,5849,0,28014,0,0,0,16017
2023-03-17 09:44:00,0,35694,231966,0,64058,0,0,0,15535
2023-03-17 09:48:00,0,39024,230674,0,30088,0,0,0,15910
2023-03-17 09:52:00,0,35078,222841,0,27653,0,0,0,16095
2023-03-17 09:56:00,0,33324,224870,0,28920,0,0,0,15796
2023-03-17 10:00:00,0,35274,6048,0,29474,0,0,0,16236
2023-03-17 10:04:00,0,563781,224153,0,294326,0,0,0,15607
2023-03-17 10:08:00,0,33264,237805,0,28354,0,0,0,15166
2023-03-17 10:12:00,0,35133,223802,0,28209,0,482,0,16402
2023-03-17 10:16:00,0,35981,228749,0,26221,0,0,0,16230
2023-03-17 10:20:00,0,32149,5965,0,62356,0,0,0,16709
2023-03-17 10:24:00,0,34051,225295,0,28345,0,0,0,14948
2023-03-17 10:28:00,0,35405,228019,0,29855,0,0,0,15660
2023-03-17 10:32:00,0,32674,229951,0,62007,0,0,0,16403
2023-03-17 10:36:00,0,35425,222256,0,27787,0,0,0,16154
2023-03-17 10:40:00,0,35777,5977,0,27356,0,0,0,15942
2023-03-17 10:44:00,0,35958,224292,0,30892,0,0,0,15801
2023-03-17 10:48:00,0,38807,226155,0,29765,0,0,0,15630
2023-03-17 10:52:00,0,34037,230607,0,26220,0,0,0,16279
2023-03-17 10:56:00,0,35673,223084,0,29283,0,0,0,16075
2023-03-17 11:00:00,0,33739,5956,0,27865,0,0,0,15890
2023-03-17 11:04:00,0,250900,234028,0,103493,0,0,0,16065
2023-03-17 11:08:00,0,36443,225011,0,28946,0,0,0,15554
2023-03-17 11:12:00,0,31914,228944,0,27382,0,0,0,16549
2023-03-17 11:16:00,0,34645,218873,0,28708,0,0,0,16556
2023-03-17 11:20:00,0,32824,5978,0,30932,0,0,0,15592
2023-03-17 11:24:00,0,35560,226802,0,29876,0,0,0,15971
2023-03-17 11:28:00,0,33759,228755,0,28261,0,0,0,15832
2023-03-17 11:32:00,0,33475,231434,0,60928,0,0,0,15795
2023-03-17 11:36:00,0,33967,221451,0,28194,0,0,0,16892
2023-03-17 11:40:00,0,34119,5911,0,32742,0,0,0,15726
2023-03-17 11:44:00,0,33223,231711,0,63875,0,0,0,16132
2023-03-17 11:48:00,0,34481,228196,0,27508,0,0,0,15187
2023-03-17 11:52:00,0,34804,231996,0,29174,0,0,0,16414
2023-03-17 11:56:00,0,35133,219143,0,27690,0,0,0,17094
2023-03-17 12:00:00,0,33385,5905,0,30655,0,0,0,15349
2023-03-17 12:04:00,0,3524899,232902,0,2842987,0,0,0,16311
2023-03-17 12:08:00,1042,36871,329734,0,32566,0,0,0,16163
2023-03-17 12:12:00,0,35499,222562,0,28538,0,0,0,15574
