"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 14:14:00,0,0,19.7,19.8,0.339,0.317,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:16:00,0,0,19.7,19.6,0.367,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:18:00,0,0,19.5,20.0,0.361,0.350,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:20:00,0,0,20.1,20.2,0.350,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:22:00,0,0,19.6,19.3,0.377,0.367,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 14:24:00,0,0,19.7,20.0,0.350,0.322,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:26:00,0,0,20.3,20.0,0.333,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:28:00,0,0,19.4,19.6,0.361,0.356,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:30:00,0,0,20.1,20.1,0.333,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:32:00,0,0,19.9,19.5,0.383,0.378,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 14:34:00,0,0,20.0,20.0,0.350,0.350,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:36:00,0,0,20.0,19.9,0.433,0.472,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:38:00,0,0,19.3,19.4,0.511,0.517,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:40:00,0,0,20.0,20.0,0.561,0.550,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:42:00,0,0,19.7,19.4,0.539,0.456,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 14:44:00,0,0,19.7,19.9,0.400,0.367,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:46:00,0,0,19.9,20.0,0.367,0.412,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:48:00,0,0,19.6,19.6,0.411,0.383,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:50:00,0,0,20.0,19.9,0.322,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:52:00,0,0,19.8,19.4,0.344,0.367,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 14:54:00,0,0,19.9,20.3,0.361,0.333,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:56:00,0,0,20.0,19.9,0.344,0.346,0,0,0.0111,0.00834,0,0,0,0,0,0,0,0
2023-03-11 14:58:00,0,0,19.2,19.3,0.383,0.372,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 15:00:00,0,0,20.0,20.1,0.356,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:02:00,0,0,20.1,19.7,0.361,0.378,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 15:04:00,0,0,19.7,19.7,0.367,0.356,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:06:00,0,0,19.5,19.8,0.322,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
