"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 21:14:00,15.6,2.68,10.3,8.94
2023-03-11 21:16:00,15.8,2.74,10.7,9.12
2023-03-11 21:18:00,15.7,2.76,10.4,9
2023-03-11 21:20:00,37.3,27.0,24.4,16.9
2023-03-11 21:22:00,15.6,2.70,10.3,8.94
2023-03-11 21:24:00,15.8,2.74,10.5,9.02
2023-03-11 21:26:00,15.6,2.74,10.5,9.06
2023-03-11 21:28:00,15.9,2.72,10.6,9.14
2023-03-11 21:30:00,32.8,25.7,22,14.6
2023-03-11 21:32:00,15.7,2.66,10.3,8.94
2023-03-11 21:34:00,15.6,2.64,10.5,9.02
2023-03-11 21:36:00,15.6,2.80,10.5,9.02
2023-03-11 21:38:00,15.8,2.72,10.6,9.08
2023-03-11 21:40:00,29.3,21.3,19.6,13.4
2023-03-11 21:42:00,15.8,2.74,10.5,9.02
2023-03-11 21:44:00,15.5,2.76,10.5,9.02
2023-03-11 21:46:00,15.7,2.66,10.6,9.10
2023-03-11 21:48:00,15.8,2.78,10.6,9.08
2023-03-11 21:50:00,26.2,16.9,17.5,12.4
2023-03-11 21:52:00,15.8,2.86,10.5,9.02
2023-03-11 21:54:00,15.6,2.70,10.3,8.94
2023-03-11 21:56:00,15.7,2.86,10.6,9.10
2023-03-11 21:58:00,15.7,2.74,10.4,9
2023-03-11 22:00:00,22.9,12.6,15.4,11.3
2023-03-11 22:02:00,15.6,2.76,10.4,8.98
2023-03-11 22:04:00,15.8,2.66,10.5,9.02
2023-03-11 22:06:00,15.8,2.80,10.6,9.10
2023-03-11 22:08:00,15.7,2.64,10.4,9
2023-03-11 22:10:00,19.6,8.14,13.3,10.3
2023-03-11 22:12:00,15.7,2.72,10.3,8.92
2023-03-11 22:14:00,15.8,2.70,10.5,8.98
2023-03-11 22:16:00,15.6,2.80,10.5,9.02
2023-03-11 22:18:00,15.7,2.66,10.6,9.08
2023-03-11 22:20:00,16.2,3.76,11.1,9.16
2023-03-11 22:22:00,15.7,2.62,10.5,9.02
2023-03-11 22:24:00,15.8,2.68,10.5,9.02
2023-03-11 22:26:00,15.7,2.74,10.5,9.06
2023-03-11 22:28:00,15.9,2.72,10.6,9.14
2023-03-11 22:30:00,15.6,2.70,10.3,8.94
2023-03-11 22:32:00,15.7,2.74,10.5,9.02
2023-03-11 22:34:00,15.6,2.76,10.3,8.94
2023-03-11 22:36:00,15.7,2.70,10.6,9.10
2023-03-11 22:38:00,15.7,2.70,10.6,9.08
2023-03-11 22:40:00,15.8,2.72,10.5,9.02
2023-03-11 22:42:00,15.7,2.68,10.5,9.02
2023-03-11 22:44:00,15.7,2.68,10.3,8.94
2023-03-11 22:46:00,15.7,2.74,10.6,9.10
2023-03-11 22:48:00,15.6,2.68,10.5,9.04
2023-03-11 22:50:00,15.8,2.76,10.5,9.02
2023-03-11 22:52:00,15.6,2.72,10.3,8.94
2023-03-11 22:54:00,15.7,2.70,10.5,9.04
2023-03-11 22:56:00,15.7,2.82,10.6,9.10
