"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 07:56:00,0,0,0,0.433,0.404,0.408
2023-03-14 08:00:00,0,0,0,0.433,0.388,0.392
2023-03-14 08:04:00,0,0,0,0.425,0.388,0.400
2023-03-14 08:08:00,0,0,0,0.446,0.413,0.396
2023-03-14 08:12:00,0,0,0,0.421,0.392,0.400
2023-03-14 08:16:00,0,0,0,0.446,0.408,0.383
2023-03-14 08:20:00,0,0,0,0.421,0.396,0.396
2023-03-14 08:24:00,0,0,0,0.454,0.392,0.408
2023-03-14 08:28:00,0,0,0,0.425,0.383,0.392
2023-03-14 08:32:00,0,0,0,0.438,0.392,0.413
2023-03-14 08:36:00,0,0,0,0.429,0.417,0.388
2023-03-14 08:40:00,0,0,0,0.442,0.392,0.392
2023-03-14 08:44:00,0,0,0,0.433,0.379,0.413
2023-03-14 08:48:00,0,0,0,0.438,0.392,0.413
2023-03-14 08:52:00,0,0,0,0.446,0.392,0.383
2023-03-14 08:56:00,0,0,0,0.433,0.404,0.388
2023-03-14 09:00:00,0,0,0,0.442,0.388,0.379
2023-03-14 09:04:00,0,0,0,0.438,0.396,0.400
2023-03-14 09:08:00,0,0,0,0.458,0.392,0.400
2023-03-14 09:12:00,0,0,0,0.417,0.400,0.392
2023-03-14 09:16:00,0,0,0,0.442,0.396,0.413
2023-03-14 09:20:00,0,0,0,0.429,0.400,0.396
2023-03-14 09:24:00,0,0,0,0.438,0.392,0.404
2023-03-14 09:28:00,0,0,0,0.438,0.417,0.404
2023-03-14 09:32:00,0,0,0,0.433,0.388,0.383
2023-03-14 09:36:00,0,0,0,0.425,0.417,0.408
2023-03-14 09:40:00,0,0,0,0.446,0.392,0.396
2023-03-14 09:44:00,0,0,0,0.450,0.396,0.396
2023-03-14 09:48:00,0,0,0,0.438,0.392,0.396
2023-03-14 09:52:00,0,0,0,0.454,0.400,0.392
2023-03-14 09:56:00,0,0,0,0.438,0.404,0.396
2023-03-14 10:00:00,0,0,0,0.433,0.392,0.392
2023-03-14 10:04:00,0,0,0,0.433,0.392,0.413
2023-03-14 10:08:00,0,0,0,0.471,0.396,0.396
2023-03-14 10:12:00,0,0,0,0.438,0.396,0.388
2023-03-14 10:16:00,0,0,0,0.421,0.408,0.421
2023-03-14 10:20:00,0,0,0,0.442,0.400,0.379
2023-03-14 10:24:00,0,0,0,0.429,0.396,0.392
2023-03-14 10:28:00,0,0,0,0.442,0.392,0.404
2023-03-14 10:32:00,0,0,0,0.433,0.404,0.408
2023-03-14 10:36:00,0,0,0,0.438,0.404,0.396
2023-03-14 10:40:00,0,0,0,0.450,0.388,0.404
2023-03-14 10:44:00,0,0,0,0.421,0.400,0.375
2023-03-14 10:48:00,0,0,0,0.471,0.392,0.396
2023-03-14 10:52:00,0,0,0,0.433,0.404,0.413
2023-03-14 10:56:00,0,0,0,0.438,0.396,0.400
2023-03-14 11:00:00,0,0,0,0.433,0.413,0.392
2023-03-14 11:04:00,0,0,0,0.454,0.388,0.400
2023-03-14 11:08:00,0,0,0,0.433,0.400,0.392
2023-03-14 11:12:00,0,0,0,0.450,0.400,0.408
2023-03-14 11:16:00,0,0,0,0.438,0.400,0.392
2023-03-14 11:20:00,0,0,0,0.442,0.408,0.392
2023-03-14 11:24:00,0,0,0,0.429,0.404,0.404
2023-03-14 11:28:00,0,0,0,0.433,0.388,0.404
2023-03-14 11:32:00,0,0,0,0.433,0.404,0.388
2023-03-14 11:36:00,0,0,0,0.442,0.400,0.408
