"Time","avg","min","max"
2023-03-17 08:00:00,85.1,85.1,85.1
2023-03-17 08:02:00,87.1,87.1,87.1
2023-03-17 08:04:00,186,186,186
2023-03-17 08:06:00,89.3,89.3,89.3
2023-03-17 08:08:00,86.1,86.1,86.1
2023-03-17 08:10:00,85.4,85.4,85.4
2023-03-17 08:12:00,89.0,89.0,89.0
2023-03-17 08:14:00,208,208,208
2023-03-17 08:16:00,90.5,90.5,90.5
2023-03-17 08:18:00,87.1,87.1,87.1
2023-03-17 08:20:00,86.5,86.5,86.5
2023-03-17 08:22:00,86.9,86.9,86.9
2023-03-17 08:24:00,133,133,133
2023-03-17 08:26:00,91.7,91.7,91.7
2023-03-17 08:28:00,87.7,87.7,87.7
2023-03-17 08:30:00,87.0,87.0,87.0
2023-03-17 08:32:00,86.3,86.3,86.3
2023-03-17 08:34:00,86.7,86.7,86.7
2023-03-17 08:36:00,91.4,91.4,91.4
2023-03-17 08:38:00,86.0,86.0,86.0
2023-03-17 08:40:00,85.0,85.0,85.0
2023-03-17 08:42:00,87.3,87.3,87.3
2023-03-17 08:44:00,87.2,87.2,87.2
2023-03-17 08:46:00,91.7,91.7,91.7
2023-03-17 08:48:00,87.1,87.1,87.1
2023-03-17 08:50:00,86.0,86.0,86.0
2023-03-17 08:52:00,86.4,86.4,86.4
2023-03-17 08:54:00,84.6,84.6,84.6
2023-03-17 08:56:00,165,165,165
2023-03-17 08:58:00,86.3,86.3,86.3
2023-03-17 09:00:00,86.7,86.7,86.7
2023-03-17 09:02:00,87.4,87.4,87.4
2023-03-17 09:04:00,85.2,85.2,85.2
2023-03-17 09:06:00,223,223,223
2023-03-17 09:08:00,85.5,85.5,85.5
2023-03-17 09:10:00,84.4,84.4,84.4
2023-03-17 09:12:00,87.8,87.8,87.8
2023-03-17 09:14:00,85.2,85.2,85.2
2023-03-17 09:16:00,166,166,166
2023-03-17 09:18:00,86.3,86.3,86.3
2023-03-17 09:20:00,87.1,87.1,87.1
2023-03-17 09:22:00,86.2,86.2,86.2
2023-03-17 09:24:00,85.0,85.0,85.0
2023-03-17 09:26:00,94.6,94.6,94.6
2023-03-17 09:28:00,84.8,84.8,84.8
2023-03-17 09:30:00,85.4,85.4,85.4
2023-03-17 09:32:00,85.5,85.5,85.5
2023-03-17 09:34:00,87.8,87.8,87.8
2023-03-17 09:36:00,93.1,93.1,93.1
2023-03-17 09:38:00,86.7,86.7,86.7
2023-03-17 09:40:00,86.8,86.8,86.8
2023-03-17 09:42:00,88.4,88.4,88.4
2023-03-17 09:44:00,90.2,90.2,90.2
2023-03-17 09:46:00,91.2,91.2,91.2
2023-03-17 09:48:00,134,134,134
2023-03-17 09:50:00,87.1,87.1,87.1
2023-03-17 09:52:00,87.8,87.8,87.8
2023-03-17 09:54:00,87.1,87.1,87.1
2023-03-17 09:56:00,89.2,89.2,89.2
2023-03-17 09:58:00,209,209,209
