"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-17 00:54:00,3.38,1.52,,6.02,8.70,3.32,2.50,2.18,,5.18,1.70,1.68
2023-03-17 00:56:00,3.50,1.88,2.14,6.18,8.80,3.20,2.52,2.04,,5.12,,1.68
2023-03-17 00:58:00,3.42,,,6.08,15.7,3.22,2.62,2.04,20.1,5.22,1.78,1.70
2023-03-17 01:00:00,3.44,1.52,,6.26,9.10,3.24,2.54,2.06,,5.26,1.70,1.68
2023-03-17 01:02:00,3.36,1.62,,6,9.32,3.10,2.50,2.08,,5.18,1.68,1.80
2023-03-17 01:04:00,3.32,1.52,,6.02,9.26,3.32,2.56,1.96,,5.22,1.74,1.68
2023-03-17 01:06:00,3.52,1.88,2.10,6.12,9.14,3.16,2.58,2.10,,5.14,1.74,
2023-03-17 01:08:00,3.14,,,6,16.3,3.40,2.52,1.98,88.0,5.18,1.80,1.68
2023-03-17 01:10:00,3.34,1.52,,6.44,9.08,3.10,2.52,2.10,,5.24,1.78,1.68
2023-03-17 01:12:00,3.40,1.62,,6.14,9.14,3.34,2.54,2.06,,5.18,1.84,1.76
2023-03-17 01:14:00,3.24,1.52,,6.10,9.14,3.22,2.52,2.02,,5.20,1.80,1.68
2023-03-17 01:16:00,3.54,1.88,1.80,6.22,9.30,3.02,2.54,2.06,,5.22,1.72,
2023-03-17 01:18:00,3.30,,,6.22,9.06,3.38,2.50,2.14,80.2,5.20,1.80,1.68
2023-03-17 01:20:00,3.44,1.52,,6.22,9.08,3.34,2.54,2.06,,5.24,1.76,1.68
2023-03-17 01:22:00,3.48,1.62,,6.18,9.30,3.28,2.54,2.06,,5.18,1.60,1.68
2023-03-17 01:24:00,3.34,1.52,,6.16,9.10,3.24,2.52,2.02,,5.16,1.82,1.70
2023-03-17 01:26:00,3.56,1.88,1.76,6.02,8.94,3.06,2.58,2.02,,5.24,1.78,
2023-03-17 01:28:00,3.34,,,6.28,9.20,3.32,2.56,2.06,10.6,5.22,1.74,1.68
2023-03-17 01:30:00,3.44,1.52,,6.34,9.04,3.34,2.52,2.10,,5.16,1.82,1.68
2023-03-17 01:32:00,3.48,1.62,,6.10,9,3.24,2.54,2.10,,5.24,1.74,1.66
2023-03-17 01:34:00,3.44,1.52,,5.94,8.98,3.18,2.52,2.06,,5.20,1.68,1.64
2023-03-17 01:36:00,3.48,1.88,1.84,6.36,8.76,3.18,2.50,1.96,,5.18,1.82,
2023-03-17 01:38:00,3.26,1.58,,6.12,9.08,3.24,2.56,2.04,,5.12,1.74,1.68
2023-03-17 01:40:00,3.26,1.52,,6.48,8.64,3.28,2.50,2.08,,5.30,1.74,1.68
2023-03-17 01:42:00,3.40,1.62,,6.32,9.08,3.20,2.54,2.08,,5.24,1.78,1.70
2023-03-17 01:44:00,3.22,1.70,,6.02,8.82,3.26,2.58,2.04,,5.08,1.78,1.68
2023-03-17 01:46:00,3.70,2.06,1.86,6.14,8.64,3.22,2.48,2,,5.18,1.74,
2023-03-17 01:48:00,3.32,1.58,,6.02,8.86,2.96,2.52,1.94,,5.18,1.70,1.68
2023-03-17 01:50:00,3.20,,,6.18,15.5,3.14,2.52,2.10,29.7,5.10,1.78,1.68
2023-03-17 01:52:00,3.32,1.62,,6.34,8.78,3.06,2.54,1.94,,5.14,1.76,1.68
2023-03-17 01:54:00,3.18,1.52,,6.26,8.22,3.16,2.54,2.04,,5.18,1.76,1.68
2023-03-17 01:56:00,3.32,1.88,1.80,6.14,8.68,3.14,2.54,2.18,,5.14,1.70,
2023-03-17 01:58:00,3.46,1.58,,6.24,8.94,3.28,2.56,2.02,,5.28,1.62,1.68
2023-03-17 02:00:00,3.40,,,6.34,16.0,3.38,2.50,2.12,95.8,5.22,1.72,1.68
2023-03-17 02:02:00,3.42,1.62,,6.12,9.06,3.34,2.52,2.14,,5.20,1.72,1.74
2023-03-17 02:04:00,3.30,1.52,,5.94,9.04,3.32,2.54,2.14,,5.18,1.72,1.68
2023-03-17 02:06:00,3.46,2.52,2.30,6.50,9.04,3.32,2.50,2.04,,5.10,,1.76
2023-03-17 02:08:00,3.38,1.66,,6.18,8.94,3.20,2.56,2.08,,5.18,1.64,1.74
2023-03-17 02:10:00,3.30,,,6.26,8.72,3.44,2.58,2.10,64.6,5.18,1.80,1.66
