"Time","FIN","RST","SYN","SYN-ACK"
2023-03-16 01:08:00,13.5,2.64,9.38,7.94
2023-03-16 01:10:00,13.5,2.62,9.36,7.92
2023-03-16 01:12:00,13.7,2.80,9.36,7.94
2023-03-16 01:14:00,13.4,2.78,9.38,7.94
2023-03-16 01:16:00,13.5,2.78,9.58,8.06
2023-03-16 01:18:00,22.9,9.94,14.8,12.2
2023-03-16 01:20:00,13.5,2.78,9.34,7.92
2023-03-16 01:22:00,13.7,2.74,9.32,7.92
2023-03-16 01:24:00,13.5,2.66,9.38,7.94
2023-03-16 01:26:00,13.6,2.80,9.58,8.06
2023-03-16 01:28:00,34.7,25.9,22.8,15.8
2023-03-16 01:30:00,13.4,2.62,9.30,7.90
2023-03-16 01:32:00,13.6,2.78,9.40,7.96
2023-03-16 01:34:00,13.4,2.66,9.46,7.98
2023-03-16 01:36:00,13.7,2.80,9.58,8.06
2023-03-16 01:38:00,26.3,20.6,18.2,11.7
2023-03-16 01:40:00,13.5,2.76,9.34,7.92
2023-03-16 01:42:00,13.7,2.88,9.32,7.92
2023-03-16 01:44:00,13.4,2.66,9.36,7.96
2023-03-16 01:46:00,13.6,2.76,9.56,8.06
2023-03-16 01:48:00,14.3,4.22,10.1,7.94
2023-03-16 01:50:00,13.5,2.60,9.30,7.90
2023-03-16 01:52:00,14.0,2.86,9.42,7.98
2023-03-16 01:54:00,13.5,2.74,9.30,7.90
