"Time","failure","success","failure","success","failure","success"
2023-03-22 05:52:00,,0.0000385,,0.0000473,,0.0000447
2023-03-22 05:54:00,,0.0000467,,0.0000445,,0.0000350
2023-03-22 05:56:00,,0.0000364,,0.0000431,,0.0000366
2023-03-22 05:58:00,,0.0000388,,0.0000354,,0.0000438
2023-03-22 06:00:00,,0.0000506,,0.0000376,,0.0000466
2023-03-22 06:02:00,,0.0000401,,0.0000405,,0.0000363
2023-03-22 06:04:00,,0.0000459,,0.0000450,,0.0000504
2023-03-22 06:06:00,,0.0000364,,0.0000356,,0.0000462
2023-03-22 06:08:00,,0.0000466,,0.0000454,,0.0000401
2023-03-22 06:10:00,,0.0000364,,0.0000377,,0.0000360
2023-03-22 06:12:00,,0.0000420,,0.0000572,,0.0000520
2023-03-22 06:14:00,,0.0000402,,0.0000386,,0.0000389
2023-03-22 06:16:00,,0.0000378,,0.0000433,,0.0000433
2023-03-22 06:18:00,,0.0000462,,0.0000515,,0.0000356
2023-03-22 06:20:00,,0.0000480,,0.0000386,,0.0000528
2023-03-22 06:22:00,,0.0000389,,0.0000399,,0.0000449
2023-03-22 06:24:00,,0.0000552,,0.0000461,,0.0000339
2023-03-22 06:26:00,,0.0000388,,0.0000525,,0.0000352
2023-03-22 06:28:00,,0.0000371,,0.0000442,,0.0000421
2023-03-22 06:30:00,,0.0000385,,0.0000353,,0.0000418
2023-03-22 06:32:00,,0.0000481,,0.0000487,,0.0000344
2023-03-22 06:34:00,,0.0000364,,0.0000444,,0.0000348
2023-03-22 06:36:00,,0.0000354,,0.0000437,,0.0000442
2023-03-22 06:38:00,,0.0000448,,0.0000369,,0.0000418
2023-03-22 06:40:00,,0.0000371,,0.0000445,,0.0000359
2023-03-22 06:42:00,,0.0000384,,0.0000468,,0.0000416
2023-03-22 06:44:00,,0.0000360,,0.0000357,,0.0000410
2023-03-22 06:46:00,,0.0000451,,0.0000339,,0.0000356
2023-03-22 06:48:00,,0.0000461,,0.0000370,,0.0000414
2023-03-22 06:50:00,,0.0000455,,0.0000476,,0.0000523
