"Time","all nodes","min/node","avg/node","max/node"
2023-03-24 00:10:00,343,113,114,116
2023-03-24 00:12:00,337,109,112,116
2023-03-24 00:14:00,348,116,116,116
2023-03-24 00:16:00,338,109,113,119
2023-03-24 00:18:00,340,109,113,116
2023-03-24 00:20:00,340,108,113,116
2023-03-24 00:22:00,351,116,117,119
2023-03-24 00:24:00,346,113,115,117
2023-03-24 00:26:00,347,115,116,116
2023-03-24 00:28:00,350,113,117,119
2023-03-24 00:30:00,341,112,114,115
2023-03-24 00:32:00,347,112,116,119
2023-03-24 00:34:00,346,114,115,116
2023-03-24 00:36:00,344,112,115,116
2023-03-24 00:38:00,343,113,114,116
2023-03-24 00:40:00,342,111,114,119
2023-03-24 00:42:00,342,113,114,115
2023-03-24 00:44:00,343,108,114,119
2023-03-24 00:46:00,348,113,116,119
2023-03-24 00:48:00,346,114,115,116
2023-03-24 00:50:00,334,109,111,116
2023-03-24 00:52:00,336,109,112,115
2023-03-24 00:54:00,345,113,115,116
2023-03-24 00:56:00,348,116,116,116
2023-03-24 00:58:00,349,113,116,121
