"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 08:52:00,0,0,0,747156,178859,173976
2023-03-22 08:54:00,0,0,0,686080,120013,166070
2023-03-22 08:56:00,0,0,0,597743,153054,84105
2023-03-22 08:58:00,0,0,0,696684,177220,177220
2023-03-22 09:00:00,0,0,0,519145,91341,80191
2023-03-22 09:02:00,0,0,0,730226,452244,269198
2023-03-22 09:04:00,0,0,0,694773,392215,219864
2023-03-22 09:06:00,0,0,0,611533,155694,82830
2023-03-22 09:08:00,0,0,0,701190,174899,179086
2023-03-22 09:10:00,0,0,0,597424,87927,85834
2023-03-22 09:12:00,0,0,0,714069,169529,167208
2023-03-22 09:14:00,0,0,0,675977,109727,163749
2023-03-22 09:16:00,0,0,0,571756,140493,74229
2023-03-22 09:18:00,0,0,0,731409,173989,171719
2023-03-22 09:20:00,0,0,0,558012,84287,84014
2023-03-22 09:22:00,0,0,0,746155,172900,176492
2023-03-22 09:24:00,0,0,0,670970,108772,174308
2023-03-22 09:26:00,0,0,0,601384,144680,75867
2023-03-22 09:28:00,0,0,0,675512,172487,164887
2023-03-22 09:30:00,0,0,0,539398,82694,70633
2023-03-22 09:32:00,0,0,0,725538,168482,210944
2023-03-22 09:34:00,0,0,0,674293,118056,210671
2023-03-22 09:36:00,0,0,0,616949,145362,81647
2023-03-22 09:38:00,0,0,0,732228,174080,169756
2023-03-22 09:40:00,0,0,0,540308,94481,87609
2023-03-22 09:42:00,0,0,0,729907,175627,214853
2023-03-22 09:44:00,0,0,0,676659,111002,216769
2023-03-22 09:46:00,0,0,0,595740,148366,81328
2023-03-22 09:48:00,0,0,0,728405,174171,167208
2023-03-22 09:50:00,0,0,0,552823,87472,87882
2023-03-22 09:52:00,0,0,0,746018,172760,172032
2023-03-22 09:54:00,0,0,0,690039,118010,173534
2023-03-22 09:56:00,0,0,0,612853,153554,82967
2023-03-22 09:58:00,0,0,0,689675,172806,172806
2023-03-22 10:00:00,0,0,0,549956,97667,75730
2023-03-22 10:02:00,0,0,0,730317,912225,538351
2023-03-22 10:04:00,0,0,0,684351,118283,170576
2023-03-22 10:06:00,0,0,0,613854,154829,92479
2023-03-22 10:08:00,0,0,0,693544,179905,183956
2023-03-22 10:10:00,0,0,0,510063,92206,88838
2023-03-22 10:12:00,0,0,0,748157,174399,172760
2023-03-22 10:14:00,0,0,0,695455,106588,183228
